system_id,system,gene,gene_name,chr,n_probes,n_kept,usability,caution,gene_function
1,"Oxytocin, vasopressin & CICR",CACNA1D,calcium voltage-gated channel subunit alpha1 D,chr3,22,4,adequate,,"Cav1.3 L-type channel, activating at more negative voltages and supporting pacemaking and tonic calcium influx. Complements CACNA1C in linking excitability to the calcium loop."
1,"Oxytocin, vasopressin & CICR",FKBP1B,FKBP prolyl isomerase 1B,chr2,13,4,adequate,,"FKBP12.6, the higher-affinity RYR2 stabiliser whose loss produces leaky channels and dysregulated release. The gating counterpart to FKBP1A in cardiac and neuronal tissue."
1,"Oxytocin, vasopressin & CICR",ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",chr3,32,4,adequate,,"Type 1 IP3 receptor, releasing endoplasmic reticulum calcium in response to the IP3 generated by OXTR, Gq and PLC. It provides the initial spark that the RyR positive feedback loop then amplifies."
1,"Oxytocin, vasopressin & CICR",RYR2,ryanodine receptor 2,chr1,21,4,adequate,,"Cardiac-type ryanodine receptor, also widely expressed in brain, where it sustains the calcium positive feedback loop underlying transmitter release and plasticity. One of the RyR family implicated in oxytocin signalling in Ein-Dor et al. (2024, Communications Psychology)."
1,"Oxytocin, vasopressin & CICR",TPCN1,two pore segment channel 1,chr12,36,4,adequate,,"Two-pore channel releasing calcium from acidic lysosomal stores in response to NAADP, a second messenger also generated by CD38. Represents the lysosomal, non-ER limb of oxytocin-triggered calcium signalling."
1,"Oxytocin, vasopressin & CICR",TPCN2,two pore segment channel 2,chr11,25,4,adequate,,"The lysosome-restricted two-pore channel and principal NAADP target, triggering local calcium that primes ER release. Links CD38 enzymatic output to the CICR loop by a route independent of cADPR."
1,"Oxytocin, vasopressin & CICR",ASPH,aspartate beta-hydroxylase,chr8,23,3,adequate,,"Aspartate beta-hydroxylase, whose junctin isoform completes the calsequestrin-triadin-RyR complex that regulates store-dependent gating. Represents the luminal regulatory arm of the loop."
1,"Oxytocin, vasopressin & CICR",BST1,bone marrow stromal cell antigen 1,chr4,11,3,adequate,,"CD38 paralogue, also called CD157, with the same ADP-ribosyl cyclase activity and partly redundant cADPR supply to the CICR loop. Studied in social anxiety and in Parkinson disease."
1,"Oxytocin, vasopressin & CICR",CALM2,calmodulin 2,chr2,23,3,adequate,,"Second of three genes encoding identical calmodulin protein, differing only in regulatory sequence and hence in methylation-sensitive expression. Dosage, not sequence, is what varies here."
1,"Oxytocin, vasopressin & CICR",FKBP1A,FKBP prolyl isomerase 1A,chr20,15,3,adequate,,"Immunophilin FKBP12, binding ryanodine and IP3 receptors and stabilising them closed to prevent calcium leak. Its methylation bears on how tightly the CICR loop is clamped between signals."
1,"Oxytocin, vasopressin & CICR",GNA11,G protein subunit alpha 11,chr19,22,3,adequate,,"G11 alpha subunit, functionally near-identical to GNAQ and largely redundant with it. Included so the transducer step is not represented by a single gene."
1,"Oxytocin, vasopressin & CICR",AVPR1A,arginine vasopressin receptor 1A,chr12,17,2,limited - 2 probes,,"The principal brain vasopressin receptor, Gq-coupled like OXTR and feeding the same IP3 and RyR calcium loop. Promoter methylation and the linked RS3 repeat are studied for pair bonding, social recognition and aggression."
1,"Oxytocin, vasopressin & CICR",CALM1,calmodulin 1,chr14,22,2,limited - 2 probes,,"Calmodulin, the universal calcium sensor that activates CaMKII and directly modulates RyR and IP3 receptor gating. Three genes encode an identical protein, so coverage across all three matters."
1,"Oxytocin, vasopressin & CICR",CALM3,calmodulin 3,chr19,19,2,limited - 2 probes,,"Third calmodulin gene; total calmodulin availability is the sum of CALM1 to CALM3, making the trio a natural test of dosage-sensitive methylation effects."
1,"Oxytocin, vasopressin & CICR",CAMK2D,calcium/calmodulin dependent protein kinase II delta,chr4,29,2,limited - 2 probes,,"CaMKII delta, the isoform dominant outside neurons and therefore the one measurable where the tissue is saliva or blood. The peripherally accessible member of the family."
1,"Oxytocin, vasopressin & CICR",CASQ1,calsequestrin 1,chr1,15,2,limited - 2 probes,,"Calsequestrin 1, the high-capacity luminal calcium buffer that sets how much calcium is available for RyR to release. Determines the size of the releasable store."
1,"Oxytocin, vasopressin & CICR",ITPR2,"inositol 1,4,5-trisphosphate receptor type 2",chr12,35,2,limited - 2 probes,,"Type 2 IP3 receptor, higher affinity for IP3 than ITPR1 and dominant in secretory and glial cells. Sets how small an oxytocin signal needs to be to ignite the positive feedback loop."
1,"Oxytocin, vasopressin & CICR",ORAI1,ORAI calcium release-activated calcium modulator 1,chr12,16,2,limited - 2 probes,,"The store-operated calcium entry channel opened by STIM1, replenishing ER calcium after release. Completes the refill circuit that sustains pulsatile signalling."
1,"Oxytocin, vasopressin & CICR",PLCB1,phospholipase C beta 1,chr20,25,2,limited - 2 probes,,"Phospholipase C beta 1, the Gq effector hydrolysing PIP2 to IP3 and DAG immediately downstream of OXTR and AVPR1A. The first amplification step in the pathway."
1,"Oxytocin, vasopressin & CICR",RYR3,ryanodine receptor 3,chr15,23,2,limited - 2 probes,,"The brain-enriched ryanodine receptor and the main amplifier of the CICR positive feedback loop in neurons. Methylation here indexes loop gain, meaning how much a given oxytocin signal is amplified, rather than receptor availability."
1,"Oxytocin, vasopressin & CICR",STIM1,stromal interaction molecule 1,chr11,22,2,limited - 2 probes,,"ER calcium sensor detecting store depletion and migrating to the membrane to open ORAI1. The trigger for store-operated entry, without which repeated oxytocin signalling would exhaust the store."
1,"Oxytocin, vasopressin & CICR",TRDN,triadin,chr6,9,2,limited - 2 probes,,"Triadin, the anchoring protein coupling calsequestrin to the ryanodine receptor so that luminal calcium load is sensed by the channel. Structural rather than signalling, but rate-limiting for release."
1,"Oxytocin, vasopressin & CICR",AVPR1B,arginine vasopressin receptor 1B,chr1,9,1,SINGLE PROBE - cannot support a gene-level claim,,"Pituitary vasopressin receptor that potentiates CRH-driven ACTH release, making it the direct link between the vasopressin arm and the HPA axis. Of interest wherever social stress and cortisol reactivity are modelled together."
1,"Oxytocin, vasopressin & CICR",CAMK2B,calcium/calmodulin dependent protein kinase II beta,chr7,29,1,SINGLE PROBE - cannot support a gene-level claim,,"CaMKII beta subunit, binding actin and targeting the holoenzyme to the synapse while tuning its calcium sensitivity. Structural partner to CAMK2A in the decoding step."
1,"Oxytocin, vasopressin & CICR",CASQ2,calsequestrin 2,chr1,8,1,SINGLE PROBE - cannot support a gene-level claim,,"Cardiac calsequestrin, buffering luminal calcium and regulating RYR2 gating through triadin and junctin. Store capacity here constrains the amplitude of each release event."
1,"Oxytocin, vasopressin & CICR",GNAQ,G protein subunit alpha q,chr9,6,1,SINGLE PROBE - cannot support a gene-level claim,,"Gq alpha subunit, the G protein coupling OXTR and AVPR1A to phospholipase C. The obligatory transducer between receptor occupancy and calcium release."
1,"Oxytocin, vasopressin & CICR",PLCB4,phospholipase C beta 4,chr20,18,1,SINGLE PROBE - cannot support a gene-level claim,,"Phospholipase C beta 4, the isoform enriched in brain and retina, giving regional specificity to Gq signalling. An alternative route from receptor to IP3."
1,"Oxytocin, vasopressin & CICR",SIGMAR1,sigma non-opioid intracellular receptor 1,chr9,15,1,SINGLE PROBE - cannot support a gene-level claim,,"Sigma-1 receptor, an ER chaperone at mitochondria-associated membranes that stabilises ITPR3 under stress and sustains calcium transfer. A stress-responsive modulator of the same IP3 machinery oxytocin recruits."
1,"Oxytocin, vasopressin & CICR",ATP2B1,ATPase plasma membrane Ca2+ transporting 1,chr12,14,0,NO USABLE PROBE - all filtered out for low variance,,"Plasma-membrane calcium ATPase extruding calcium from the cell, setting the resting baseline against which release events are read. Determines how quickly the system resets."
1,"Oxytocin, vasopressin & CICR",SELENON,selenoprotein N,chr1,14,0,NO USABLE PROBE - all filtered out for low variance,,"Selenoprotein N, an ER protein required for redox-dependent regulation of RyR and SERCA calcium handling. Places selenium status and oxidative state upstream of CICR efficiency."
2,HPA axis & glucocorticoid signalling,TSC22D3,TSC22 domain family member 3,chrX,35,31,good,X-linked: X-inactivation makes female values a two-allele average - analyse within sex or model sex explicitly,"GILZ, one of the most strongly glucocorticoid-induced genes, mediating the anti-inflammatory arm of cortisol action. Directly connects the HPA axis to immune suppression."
2,HPA axis & glucocorticoid signalling,SGK1,serum/glucocorticoid regulated kinase 1,chr6,50,14,good,,"Serum and glucocorticoid-regulated kinase 1, a rapidly induced direct receptor target and a widely used readout that glucocorticoid signalling actually occurred. A downstream reporter rather than a regulator."
2,HPA axis & glucocorticoid signalling,UCN,urocortin,chr2,15,12,good,,"Urocortin 1, binding both CRH receptors and sustaining the stress response beyond the initial CRH pulse. Extends the temporal profile of axis activation."
2,HPA axis & glucocorticoid signalling,ZBTB16,zinc finger and BTB domain containing 16,chr11,39,11,good,,"PLZF, a glucocorticoid-responsive transcription factor with roles in immune cell fate and neural progenitor maintenance. Represents the developmental branch of the receptor's target programme."
2,HPA axis & glucocorticoid signalling,CRH,corticotropin releasing hormone,chr8,17,8,good,,"Corticotropin-releasing hormone, the hypothalamic peptide initiating the entire cascade by driving pituitary ACTH release. Its promoter methylation is a primary candidate for how early adversity sets axis tone."
2,HPA axis & glucocorticoid signalling,CRHBP,corticotropin releasing hormone binding protein,chr5,13,8,good,,"CRH binding protein, sequestering circulating CRH and limiting how much reaches the pituitary. The brake on the first step, so its methylation shifts axis sensitivity without changing CRH output."
2,HPA axis & glucocorticoid signalling,FKBP5,FKBP prolyl isomerase 5,chr6,18,7,good,,"Co-chaperone lowering glucocorticoid receptor affinity and slowing nuclear translocation; cortisol induces it, creating an ultra-short feedback loop. Intron 7 demethylation after early trauma is a landmark demonstration of environmentally driven methylation change."
2,HPA axis & glucocorticoid signalling,NR3C1,nuclear receptor subfamily 3 group C member 1,chr5,40,6,good,,"The glucocorticoid receptor, mediating cortisol's effects and its own negative feedback. Exon 1F promoter methylation is the most replicated finding in behavioural epigenetics, from Weaver's maternal care work onward."
2,HPA axis & glucocorticoid signalling,POMC,proopiomelanocortin,chr2,20,6,good,,"Proopiomelanocortin, the pituitary precursor cleaved to ACTH and also the shared precursor of beta-endorphin and MSH. Its methylation links the HPA axis to the opioid and appetite systems."
2,HPA axis & glucocorticoid signalling,DDIT4,DNA damage inducible transcript 4,chr10,19,5,adequate,,"REDD1, a glucocorticoid-induced inhibitor of mTOR signalling, linking stress hormones to suppressed protein synthesis and plasticity. A plausible route from chronic cortisol to reduced neural remodelling."
2,HPA axis & glucocorticoid signalling,HSD11B1,hydroxysteroid 11-beta dehydrogenase 1,chr1,17,4,adequate,,"Regenerates active cortisol from inert cortisone within target tissues, so local exposure can exceed circulating levels. Explains why tissue glucocorticoid action is not readable from serum cortisol alone."
2,HPA axis & glucocorticoid signalling,HSP90AA1,heat shock protein 90 alpha family class A member 1,chr14,24,4,adequate,,The inducible HSP90 alpha chaperone holding the glucocorticoid receptor in a ligand-binding-competent conformation. Without it the receptor cannot bind cortisol at physiological concentrations.
2,HPA axis & glucocorticoid signalling,MC2R,melanocortin 2 receptor,chr18,10,4,adequate,,"The adrenal ACTH receptor, translating pituitary signal into cortisol synthesis. The single obligatory receptor step between ACTH and the adrenal response."
2,HPA axis & glucocorticoid signalling,PCSK2,proprotein convertase subtilisin/kexin type 2,chr20,18,4,adequate,,"Prohormone convertase 2, directing POMC processing towards alpha-MSH and beta-endorphin rather than ACTH. Determines which branch of the precursor's output predominates."
2,HPA axis & glucocorticoid signalling,UCN3,urocortin 3,chr10,12,4,adequate,,"Urocortin 3, the most CRHR2-selective ligand, implicated in terminating the stress response and in social behaviour. The clearest molecular handle on stress offset rather than onset."
2,HPA axis & glucocorticoid signalling,ANXA1,annexin A1,chr9,5,3,adequate,,"Annexin A1, mediating the rapid non-genomic anti-inflammatory and negative-feedback actions of glucocorticoids. Captures the fast arm of cortisol signalling that receptor-transcription models miss."
2,HPA axis & glucocorticoid signalling,CRHR2,corticotropin releasing hormone receptor 2,chr7,22,3,adequate,,"The second CRH receptor, preferentially bound by urocortins and generally opposing CRHR1 by supporting stress recovery rather than initiation. Represents the off-switch arm of CRH signalling."
2,HPA axis & glucocorticoid signalling,MRAP,melanocortin 2 receptor accessory protein,chr21,12,3,adequate,,"Melanocortin receptor accessory protein, required to traffic MC2R to the cell surface and confer ACTH responsiveness. MC2R is non-functional without it, so the two must be read together."
2,HPA axis & glucocorticoid signalling,PCSK1,proprotein convertase subtilisin/kexin type 1,chr5,22,3,adequate,,"Prohormone convertase 1/3, performing the cleavage of POMC to ACTH. Without it the precursor is made but the active hormone is not, so it is a rate-limiting post-translational step."
2,HPA axis & glucocorticoid signalling,BAG1,BAG cochaperone 1,chr9,18,2,limited - 2 probes,,"Co-chaperone promoting receptor degradation and inhibiting its transcriptional activity, acting as a negative regulator of glucocorticoid signalling. The disposal arm of the chaperone complex."
2,HPA axis & glucocorticoid signalling,FKBP4,FKBP prolyl isomerase 4,chr12,22,2,limited - 2 probes,,"The partner co-chaperone FKBP52, which increases receptor affinity and promotes nuclear translocation, opposing FKBP5. The FKBP4 to FKBP5 ratio, not either alone, sets receptor sensitivity."
2,HPA axis & glucocorticoid signalling,SERPINA6,serpin family A member 6,chr14,11,2,limited - 2 probes,,"Corticosteroid binding globulin, carrying roughly 90 percent of circulating cortisol and determining the free fraction available to tissues. Sets the bioavailability of the entire axis output."
2,HPA axis & glucocorticoid signalling,STIP1,stress induced phosphoprotein 1,chr11,27,2,limited - 2 probes,,"HOP, the adaptor handing the unliganded glucocorticoid receptor from HSP70 to HSP90 during maturation. A required assembly step for a receptor competent to bind cortisol."
2,HPA axis & glucocorticoid signalling,UCN2,urocortin 2,chr3,8,2,limited - 2 probes,,"Urocortin 2, a selective CRHR2 agonist involved in the delayed, recovery-phase component of the stress response. Methylation here bears on how quickly the axis returns to baseline."
2,HPA axis & glucocorticoid signalling,HSD11B2,hydroxysteroid 11-beta dehydrogenase 2,chr16,13,1,SINGLE PROBE - cannot support a gene-level claim,,"Inactivates cortisol to cortisone and, in placenta, forms the barrier protecting the fetus from maternal cortisol. Its placental methylation is a central mechanism in prenatal stress programming."
2,HPA axis & glucocorticoid signalling,KLF9,KLF transcription factor 9,chr9,11,1,SINGLE PROBE - cannot support a gene-level claim,,Transcription factor induced by glucocorticoids that amplifies the receptor's transcriptional programme through a feedforward loop. Extends a transient cortisol pulse into a longer transcriptional response.
2,HPA axis & glucocorticoid signalling,CRHR1,corticotropin releasing hormone receptor 1,chr17,10,0,NO USABLE PROBE - all filtered out for low variance,,The pituitary and cortical CRH receptor mediating ACTH release and anxiety-like responses. Its interaction with childhood maltreatment is among the most studied gene-environment findings in the HPA literature.
2,HPA axis & glucocorticoid signalling,NR3C2,nuclear receptor subfamily 3 group C member 2,chr4,23,0,NO USABLE PROBE - all filtered out for low variance,,"The mineralocorticoid receptor, binding cortisol at roughly tenfold higher affinity than NR3C1 and so governing tone at basal rather than peak levels. Sets the threshold at which the axis engages."
2,HPA axis & glucocorticoid signalling,PTGES3,prostaglandin E synthase 3,chr12,17,0,NO USABLE PROBE - all filtered out for low variance,,"p23, stabilising the mature HSP90-receptor complex and needed for high-affinity hormone binding. Completes the chaperone heterocomplex with STIP1 and HSP90AA1."
2,HPA axis & glucocorticoid signalling,TBX19,T-box transcription factor 19,chr1,8,0,NO USABLE PROBE - all filtered out for low variance,,"T-box transcription factor TPIT, required for corticotroph differentiation and POMC transcription. Loss causes isolated ACTH deficiency, making it the developmental gatekeeper of the pituitary limb."
3,Steroidogenesis (adrenal & gonadal),NR0B1,nuclear receptor subfamily 0 group B member 1,chrX,18,16,good,X-linked: X-inactivation makes female values a two-allele average - analyse within sex or model sex explicitly,"DAX1, an atypical nuclear receptor repressing NR5A1 targets; X-linked and dosage-sensitive, with duplication causing sex reversal. The brake on the steroidogenic transcriptional programme."
3,Steroidogenesis (adrenal & gonadal),STAR,steroidogenic acute regulatory protein,chr8,14,10,good,,"Steroidogenic acute regulatory protein, moving cholesterol across the mitochondrial membrane to CYP11A1. This transfer, not any enzyme, is the rate-limiting step of all steroid synthesis."
3,Steroidogenesis (adrenal & gonadal),CYP11A1,cytochrome P450 family 11 subfamily A member 1,chr15,27,8,good,,"Side-chain cleavage enzyme converting cholesterol to pregnenolone, the committed first enzymatic step shared by every steroid product. Everything downstream, cortisol and sex steroids alike, passes through it."
3,Steroidogenesis (adrenal & gonadal),FDXR,ferredoxin reductase,chr17,27,6,good,,"Ferredoxin reductase, transferring electrons from NADPH to FDX1 and so powering all mitochondrial steroid hydroxylations. Links cellular redox state to steroid output."
3,Steroidogenesis (adrenal & gonadal),POR,cytochrome p450 oxidoreductase,chr7,24,6,good,,"Cytochrome P450 oxidoreductase, the obligatory electron donor for CYP17A1, CYP21A2 and CYP19A1. A single cofactor gene whose methylation could shift several steroidogenic steps at once."
3,Steroidogenesis (adrenal & gonadal),LDLR,low density lipoprotein receptor,chr19,21,4,adequate,,Low-density lipoprotein receptor importing circulating cholesterol; steroidogenic cells prefer this route to de novo synthesis. The main substrate supply line in adrenal and gonadal tissue.
3,Steroidogenesis (adrenal & gonadal),CYP11B1,cytochrome P450 family 11 subfamily B member 1,chr8,10,3,adequate,,"11-beta-hydroxylase, performing the final step to cortisol in the adrenal fasciculata. The terminal enzyme of the glucocorticoid branch."
3,Steroidogenesis (adrenal & gonadal),CYP11B2,cytochrome P450 family 11 subfamily B member 2,chr8,6,2,limited - 2 probes,,"Aldosterone synthase, the mineralocorticoid branch point in the adrenal glomerulosa. Diverges from CYP11B1 despite near-identical sequence, so probe-level specificity matters especially here."
3,Steroidogenesis (adrenal & gonadal),HSD3B2,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2",chr1,6,2,limited - 2 probes,,The adrenal and gonadal isoform performing the same conversion and the one that limits classical steroid output. Distinguishing the two isoforms separates peripheral from glandular synthesis.
3,Steroidogenesis (adrenal & gonadal),NR5A1,nuclear receptor subfamily 5 group A member 1,chr9,8,2,limited - 2 probes,,"Steroidogenic factor 1, the master transcription factor switching on STAR and most steroidogenic enzymes and directing adrenal and gonadal development. Coordinate control of the whole system."
3,Steroidogenesis (adrenal & gonadal),SCARB1,scavenger receptor class B member 1,chr12,26,2,limited - 2 probes,,"Scavenger receptor B1, taking up HDL cholesteryl esters selectively and serving as the preferred cholesterol source for steroidogenic cells. Complements LDLR as the second substrate route."
3,Steroidogenesis (adrenal & gonadal),CYP17A1,cytochrome P450 family 17 subfamily A member 1,chr10,13,1,SINGLE PROBE - cannot support a gene-level claim,,"Dual-function enzyme whose 17-alpha-hydroxylase and 17,20-lyase activities determine the split between cortisol and androgen production. The most important branch point between the HPA and sex-steroid outputs."
3,Steroidogenesis (adrenal & gonadal),CYP21A2,cytochrome P450 family 21 subfamily A member 2,chr6,1,1,SINGLE PROBE - cannot support a gene-level claim,,"21-hydroxylase, required for both cortisol and aldosterone; its deficiency causes congenital adrenal hyperplasia with androgen excess. Illustrates how one block redirects the whole pathway."
3,Steroidogenesis (adrenal & gonadal),FDX1,ferredoxin 1,chr11,9,1,SINGLE PROBE - cannot support a gene-level claim,,"Ferredoxin 1, shuttling electrons from FDXR to the mitochondrial P450 enzymes CYP11A1 and CYP11B1/B2. The mitochondrial counterpart to POR."
3,Steroidogenesis (adrenal & gonadal),HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,chr5,16,1,SINGLE PROBE - cannot support a gene-level claim,,"Rate-limiting enzyme of cholesterol biosynthesis and the statin target, supplying the substrate all steroidogenesis depends on. Upstream of, but limiting for, the entire pathway."
3,Steroidogenesis (adrenal & gonadal),HSD3B1,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",chr1,5,1,SINGLE PROBE - cannot support a gene-level claim,,"The placental and peripheral 3-beta-hydroxysteroid dehydrogenase isoform, converting pregnenolone to progesterone. Governs steroid production in the tissues most relevant to pregnancy."
3,Steroidogenesis (adrenal & gonadal),TSPO,translocator protein,chr22,20,1,SINGLE PROBE - cannot support a gene-level claim,,"Translocator protein on the outer mitochondrial membrane, partnering STAR in cholesterol import and widely used as a neuroinflammation marker. Sits at the junction of steroid synthesis and glial activation."
4,Sex steroids: receptors & metabolism,AR,androgen receptor,chrX,41,39,good,X-linked: X-inactivation makes female values a two-allele average - analyse within sex or model sex explicitly,"Ligand-activated transcription factor for testosterone and DHT, and the endpoint of the entire androgen pathway. X-linked, so its CpGs are subject to X-inactivation and must be analysed within sex; the CAG repeat further modulates receptor sensitivity."
4,Sex steroids: receptors & metabolism,ESR1,estrogen receptor 1,chr6,69,22,good,,"Oestrogen receptor alpha, the dominant mediator of oestradiol's genomic effects in reproductive tissue, bone and brain. Its promoter methylation in the medial preoptic area is the canonical mechanism transmitting maternal care across generations."
4,Sex steroids: receptors & metabolism,CYP1A1,cytochrome P450 family 1 subfamily A member 1,chr15,32,10,good,,Hydroxylates oestradiol to the relatively benign 2-hydroxy catechol and is induced by aryl hydrocarbons in tobacco smoke. Connects environmental exposure to oestrogen metabolism.
4,Sex steroids: receptors & metabolism,SRD5A2,steroid 5 alpha-reductase 2,chr2,20,10,good,,"5-alpha-reductase type 2, the prostate and genital isoform responsible for male external differentiation; its deficiency causes 46,XY undervirilisation. The developmentally decisive isoform of the pair."
4,Sex steroids: receptors & metabolism,HSD17B2,hydroxysteroid 17-beta dehydrogenase 2,chr16,14,9,good,,"Performs the reverse oxidation, inactivating oestradiol to oestrone and testosterone to androstenedione. The HSD17B1 to HSD17B2 balance sets local active hormone concentration."
4,Sex steroids: receptors & metabolism,NCOA4,nuclear receptor coactivator 4,chr10,27,9,good,,"Better characterised as the ferritinophagy receptor delivering ferritin for degradation, with a secondary androgen receptor coactivator role. Links iron handling to androgen signalling."
4,Sex steroids: receptors & metabolism,GATA2,GATA binding protein 2,chr3,33,8,good,,"Pioneer factor collaborating with FOXA1 to license androgen receptor binding, acting upstream of receptor recruitment. Part of the chromatin-accessibility layer of steroid signalling."
4,Sex steroids: receptors & metabolism,SHBG,sex hormone binding globulin,chr17,30,8,good,,"Sex hormone binding globulin, carrying testosterone and oestradiol in plasma and determining the free, bioavailable fraction. Total hormone levels are uninterpretable without it."
4,Sex steroids: receptors & metabolism,CYP19A1,cytochrome P450 family 19 subfamily A member 1,chr15,27,7,good,,"Aromatase, converting androgens to oestrogens and so setting the local oestrogen-to-androgen ratio in brain, adipose and placenta. The most important switch in sex-steroid balance, and heavily promoter-regulated in a tissue-specific way."
4,Sex steroids: receptors & metabolism,CYP1B1,cytochrome P450 family 1 subfamily B member 1,chr2,35,7,good,,"Directs oestradiol instead to the 4-hydroxy catechol, which is redox-active and DNA-damaging. The CYP1A1 to CYP1B1 ratio determines whether oestrogen metabolism is benign or genotoxic."
4,Sex steroids: receptors & metabolism,TMPRSS2,transmembrane serine protease 2,chr21,27,7,good,,"Androgen-regulated serine protease, best known for its prostate cancer fusion and as the SARS-CoV-2 entry protease. Its androgen responsiveness is the proposed basis for sex differences in COVID-19 severity."
4,Sex steroids: receptors & metabolism,PGR,progesterone receptor,chr11,30,6,good,,"Progesterone receptor, itself oestrogen-induced, governing uterine function, lactational readiness and progesterone's effects on mood. Its two isoforms arise from distinct promoters, so promoter methylation changes which isoform predominates."
4,Sex steroids: receptors & metabolism,KLK3,kallikrein related peptidase 3,chr19,9,5,adequate,,"Prostate-specific antigen, a canonical androgen receptor target and the standard readout that androgen signalling has occurred. A reporter rather than a regulator."
4,Sex steroids: receptors & metabolism,UGT2B7,UDP glucuronosyltransferase family 2 member B7,chr4,8,5,adequate,,"Glucuronidates androgens and oestrogens for excretion, one of the main terminal clearance routes. Determines how long a steroid signal persists."
4,Sex steroids: receptors & metabolism,AKR1C2,aldo-keto reductase family 1 member C2,chr10,5,4,adequate,,3-alpha-hydroxysteroid dehydrogenase inactivating DHT to androstanediol and generating allopregnanolone. Sits at the junction of androgen clearance and neurosteroid production.
