probe,column,gene,system_id,system,input,requested_gene,best_direction,best_label,best_confidence,best_evidence,best_tier,best_expected_accuracy,direction_uncertain,best_direction_filled,best_direction_flipped,smr_direction,smr_tier,smr_p,smr_n_instruments,smr_gene_dist,smr_agreement,consensus_direction,n_tissues_calling,tissue_agreement,gene_blood,dir_blood,conf_blood,tier_blood,status_blood,gene_nasal,dir_nasal,conf_nasal,tier_nasal,status_nasal,gene_solid,dir_solid,conf_solid,tier_solid,status_solid,gene_universal,dist_universal,dir_universal,p_universal,agree_universal,dist_unanimous,dist_dir_blood,dist_dir_nasal,dist_dir_solid,measured_genes,measured_tissues,measured_direction,measured_direction_requested,annotation_mismatch,mismatch_note,note,p_conf,p_plus
cg00105415,cg00105415_TC21_T1_EGR2,EGR2,18,Neurotrophins & activity-dependent plasticity,cg00105415,EGR2,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,ADO,,0.3771,A,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00121904,cg00121904_TC21_T1_MAOB,MAOB,11,"Monoamine synthesis, transport & degradation",cg00121904,MAOB,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00125300,cg00125300_BC21_T1_NRXN3,NRXN3,25,Social-synaptic & psychiatric risk,cg00125300,NRXN3,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,NRXN3,,0.1556,B,ABSTAIN,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00140754,cg00140754_BC21_T1_RXFP1,RXFP1,7,"Pregnancy, parturition & lactation",cg00140754,RXFP1,,,,no_evidence,,,FALSE,,,,,,,,,,0,,C4ORF46,,0.0365,B,REQUESTED_GENE_UNAVAILABLE,C4ORF46,,0.0694,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00141330,cg00141330_BC21_T1_PDE4D,PDE4D,19,GPCR signalling & second messengers,cg00141330,PDE4D,,,,no_evidence,,,FALSE,,,,,,,,,,0,,ZNF329,,0.1897,B,REQUESTED_GENE_UNAVAILABLE,ZNF587B,,0.1556,B,REQUESTED_GENE_UNAVAILABLE,C14ORF37,,0.1667,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00146500,cg00146500_BC21_T1_TSC22D3,TSC22D3,2,HPA axis & glucocorticoid signalling,cg00146500,TSC22D3,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00155351,cg00155351_BC21_T1_PDYN,PDYN,12,Opioid & melanocortin,cg00155351,PDYN,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,LOC388780,,0.1239,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00156633,cg00156633_TC21_T1_HTR4,HTR4,9,Serotonin,cg00156633,HTR4,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00168184,cg00168184_TC11_T1_MEG3,MEG3,21,Imprinted genes & DMRs,cg00168184,MEG3,-1,higher methylation -> LOWER expression,0.4729,catalogue_single,A,"0.62-0.87 (tier A, one tissue only)",FALSE,-1,-1,,,,,,,,1,1,MEG3,-1,0.4729,A,PREDICTED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.4729,0.26355
cg00174076,cg00174076_BC21_T1_ERBB4,ERBB4,25,Social-synaptic & psychiatric risk,cg00174076,ERBB4,-1,higher methylation -> LOWER expression,0.5586,catalogue_consensus,A,"0.77-0.87 (tier A, tissues agree)",FALSE,-1,-1,,,,,,,-1,2,1,,,,,UNMAPPED,ERBB4,-1,0.6433,A,PREDICTED,ERBB4,-1,0.474,A,PREDICTED,,,,,,,,,,,,,,,"","",0.5586,0.2207
cg00181439,cg00181439_TC21_T1_HTR1B,HTR1B,9,Serotonin,cg00181439,HTR1B,,,,no_evidence,,,FALSE,,,,,,,,,,0,,LHFPL2,,0.126,A,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,LHFPL2,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00194126,cg00194126_BC21_T1_NR4A2,NR4A2,8,Dopamine,cg00194126,NR4A2,,,,no_evidence,,,FALSE,,,,,,,,,,0,,FLJ46875,,0.4729,A,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00201945,cg00201945_TC21_T1_PRKACB,PRKACB,19,GPCR signalling & second messengers,cg00201945,PRKACB,,,,no_evidence,,,FALSE,,,,,,,,,,0,,USP10,,0.289,B,REQUESTED_GENE_UNAVAILABLE,PRKACB,,0.0694,B,ABSTAIN,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00202441,cg00202441_BC21_T1_GABRB1,GABRB1,17,GABA & excitation-inhibition balance,cg00202441,GABRB1,,,,no_evidence,,,FALSE,,,,,,,,,,0,,SNORD67,,0.0153,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00202711,cg00202711_BC21_T1_HTR2C,HTR2C,9,Serotonin,cg00202711,HTR2C,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00215587,cg00215587_TC11_T1_MKRN3,MKRN3,21,Imprinted genes & DMRs,cg00215587,MKRN3,,,,no_evidence,,,FALSE,,,,,,,,,,0,,NR1D2,,0.7056,A,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00217795,cg00217795_BC21_T1_DIO2,DIO2,26,Thyroid & neurodevelopment,cg00217795,DIO2,-1,higher methylation -> LOWER expression,0.31,catalogue_single,A,"0.62-0.87 (tier A, one tissue only)",FALSE,-1,-1,,,,,,,,1,1,,,,,UNMAPPED,DIO2,-1,0.31,A,PREDICTED,FAH,,0.2027,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.31,0.345
cg00220102,cg00220102_TC11_T1_ABAT,ABAT,17,GABA & excitation-inhibition balance,cg00220102,ABAT,1,higher methylation -> HIGHER expression,1,measured,A,"~1.00 (measured, not predicted)",FALSE,1,1,1,S2,2.388e-201,1,16671,TRUE,,1,1,ABAT,1,1,A,DIRECT_eQTM,ABAT,,0.1453,B,ABSTAIN,RERE,,0.3688,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,ABAT,blood,ABAT:+1,1,FALSE,"","",1,1
cg00220369,cg00220369_BC21_T1_GABRA6,GABRA6,17,GABA & excitation-inhibition balance,cg00220369,GABRA6,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00220677,cg00220677_BC21_T1_PRLR,PRLR,6,Libido & sexual function,cg00220677,PRLR,,,,no_evidence,,,FALSE,,,,,,,,,,0,,CREM,,0.1934,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,CREM,,0.1124,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00223043,cg00223043_TC21_T1_TCN2,TCN2,22,One-carbon metabolism,cg00223043,TCN2,,,,no_evidence,,,FALSE,,,,,,,,,,0,,SEC14L6,,0.1077,A,REQUESTED_GENE_UNAVAILABLE,SLC35E4,,0.4852,A,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00223677,cg00223677_BC21_T1_DLG3,DLG3,16,Glutamate & synaptic scaffolding,cg00223677,DLG3,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00231389,cg00231389_TC21_T1_ABAT,ABAT,17,GABA & excitation-inhibition balance,cg00231389,ABAT,1,higher methylation -> HIGHER expression,1,measured,A,"~1.00 (measured, not predicted)",FALSE,1,1,1,S2,5.584e-64,1,16674,TRUE,,1,1,ABAT,1,1,A,DIRECT_eQTM,ABAT,,0.1453,B,ABSTAIN,RERE,,0.3688,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,ABAT,blood,ABAT:+1,1,FALSE,"","",1,1
cg00247334,cg00247334_BC21_T1_OXTR,OXTR,1,"Oxytocin, vasopressin & CICR",cg00247334,OXTR,-1,higher methylation -> LOWER expression,0.8169,catalogue_single,B,"0.55-0.84 (tier B, one tissue only)",FALSE,-1,-1,,,,,,,,1,1,TRIM66,,0.126,B,REQUESTED_GENE_UNAVAILABLE,OXTR,-1,0.8169,B,PREDICTED,TRIM66,,0.1474,A,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.8169,0.09155
cg00266433,cg00266433_TC21_T1_PDE4D,PDE4D,19,GPCR signalling & second messengers,cg00266433,PDE4D,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00267746,cg00267746_TC11_T1_GNAS,GNAS,19,GPCR signalling & second messengers,cg00267746,GNAS,,,,no_evidence,,,FALSE,,,,,,,,,,0,,CTSZ,,0.6537,A,REQUESTED_GENE_UNAVAILABLE,CTSZ,,0.3409,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00273464,cg00273464_BC11_T1_IGF2,IGF2,21,Imprinted genes & DMRs,cg00273464,IGF2,1,higher methylation -> HIGHER expression,,smr_moderate,,"0.84-0.86 (SMR tier S2, single instrument; validated n=6,008)",FALSE,1,1,1,S2,1.814e-09,1,9825,TRUE,,0,,MAD1L1,,0.1971,A,REQUESTED_GENE_UNAVAILABLE,CD81,,0.3639,A,REQUESTED_GENE_UNAVAILABLE,MAD1L1,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",causal direction from SMR (blood); consistent with methylation affecting expression AND with linkage - HEIDI not run,0.7,0.85
cg00281530,cg00281530_BC21_T1_NLGN4X,NLGN4X,25,Social-synaptic & psychiatric risk,cg00281530,NLGN4X,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00287826,cg00287826_TC21_T1_TLR4,TLR4,24,"Immune, inflammation & HLA",cg00287826,TLR4,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00297776,cg00297776_BC21_T1_NOS2,NOS2,6,Libido & sexual function,cg00297776,NOS2,,,,no_evidence,,,FALSE,,,,,,,,,,0,,LGALS9,,0.1077,B,REQUESTED_GENE_UNAVAILABLE,LGALS9,,0.378,B,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00299047,cg00299047_TC21_T1_AMH,AMH,5,"HPG axis, puberty & KNDy",cg00299047,AMH,-1,higher methylation -> LOWER expression,,smr_moderate,,"0.84-0.86 (SMR tier S2, single instrument; validated n=6,008)",FALSE,-1,-1,-1,S2,2.384e-55,1,1700,TRUE,,0,,JSRP1,,0.4598,A,REQUESTED_GENE_UNAVAILABLE,PLEKHJ1,,0.8866,A,REQUESTED_GENE_UNAVAILABLE,PLEKHJ1,,0.1667,A,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",causal direction from SMR (blood); consistent with methylation affecting expression AND with linkage - HEIDI not run,0.7,0.15
cg00300969,cg00300969_TC21_T1_DNMT3B,DNMT3B,20,Epigenetic machinery,cg00300969,DNMT3B,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,BPIFB2,,0.8457,A,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00308665,cg00308665_BC21_T1_HTR2A,HTR2A,9,Serotonin,cg00308665,HTR2A,,,,no_evidence,,,FALSE,,,,,,,,,,0,,ESD,,0.058,B,REQUESTED_GENE_UNAVAILABLE,ESD,,0.4745,A,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00310588,cg00310588_BC21_T1_HTR3C,HTR3C,9,Serotonin,cg00310588,HTR3C,,,,no_evidence,,,FALSE,,,,,,,,,,0,,ABCC5,,0.1291,A,REQUESTED_GENE_UNAVAILABLE,ABCC5,,0.1239,A,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00322656,cg00322656_BC21_T1_PDE4D,PDE4D,19,GPCR signalling & second messengers,cg00322656,PDE4D,-1,higher methylation -> LOWER expression,0.52,catalogue_single,B,"0.55-0.84 (tier B, one tissue only)",FALSE,-1,-1,,,,,,,,1,1,PDE4D,-1,0.52,B,PREDICTED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.52,0.24
cg00329728,cg00329728_BC21_T1_GABRA5,GABRA5,17,GABA & excitation-inhibition balance,cg00329728,GABRA5,,,,no_evidence,,,FALSE,,,,,,,,,,0,,NSMCE1,,0.2377,B,REQUESTED_GENE_UNAVAILABLE,HIST1H2BK,,0.6135,B,REQUESTED_GENE_UNAVAILABLE,GABRB3,,0.6296,A,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00335124,cg00335124_TC21_T1_PDE4D,PDE4D,19,GPCR signalling & second messengers,cg00335124,PDE4D,,,,no_evidence,,,FALSE,,,,,,,,,,0,,PDE4D,,0.2377,B,ABSTAIN,,,,,UNMAPPED,C14ORF37,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00335286,cg00335286_TC21_T1_MC2R,MC2R,2,HPA axis & glucocorticoid signalling,cg00335286,MC2R,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00343433,cg00343433_BC22_T1_ASPH,ASPH,1,"Oxytocin, vasopressin & CICR",cg00343433,ASPH,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00345522,cg00345522_BC21_T1_NRXN1,NRXN1,25,Social-synaptic & psychiatric risk,cg00345522,NRXN1,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00350942,cg00350942_TC21_T1_GRIN1,GRIN1,16,Glutamate & synaptic scaffolding,cg00350942,GRIN1,,,,no_evidence,,,FALSE,,,,,,,,,,0,,DPP7,,0.298,A,REQUESTED_GENE_UNAVAILABLE,DPP7,,0.4852,A,REQUESTED_GENE_UNAVAILABLE,MAN1B1-AS1,,0.1474,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00365524,cg00365524_TC21_T1_HTR6,HTR6,9,Serotonin,cg00365524,HTR6,,,,no_evidence,,,FALSE,,,,,,,,,,0,,MINOS1-NBL1,,0.4598,A,REQUESTED_GENE_UNAVAILABLE,NBL1,,0.8366,A,REQUESTED_GENE_UNAVAILABLE,GPRC5B,,0.1815,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00369202,cg00369202_BC21_T1_GRM4,GRM4,16,Glutamate & synaptic scaffolding,cg00369202,GRM4,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00380835,cg00380835_TC11_T1_SHANK1,SHANK1,16,Glutamate & synaptic scaffolding,cg00380835,SHANK1,,,,no_evidence,,,FALSE,,,,,,,,,,0,,CLEC11A,,0.561,A,REQUESTED_GENE_UNAVAILABLE,JOSD2,,0.4583,A,REQUESTED_GENE_UNAVAILABLE,SHANK3,,0.0131,B,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00404599,cg00404599_TC21_T1_TSC22D3,TSC22D3,2,HPA axis & glucocorticoid signalling,cg00404599,TSC22D3,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00406460,cg00406460_BC21_T1_SYN1,SYN1,18,Neurotrophins & activity-dependent plasticity,cg00406460,SYN1,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00414078,cg00414078_BC21_T1_CNR2,CNR2,14,Endocannabinoid,cg00414078,CNR2,,,,no_evidence,,,FALSE,,,,,,,,,,0,,GALE,,0.3429,A,REQUESTED_GENE_UNAVAILABLE,GALE,,0.0695,A,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00426720,cg00426720_BC21_T1_NR4A2,NR4A2,8,Dopamine,cg00426720,NR4A2,,,,no_evidence,,,FALSE,,,,,,,,,,0,,FLJ46875,,0.4729,A,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00432837,cg00432837_TC21_T1_PGF,PGF,7,"Pregnancy, parturition & lactation",cg00432837,PGF,,,,no_evidence,,,FALSE,,,,,,,,,,0,,RPS6KL1,,0.4729,A,REQUESTED_GENE_UNAVAILABLE,RPS6KL1,,0.4583,A,REQUESTED_GENE_UNAVAILABLE,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00437879,cg00437879_BC21_T1_HTR7,HTR7,9,Serotonin,cg00437879,HTR7,,,,no_evidence,,,FALSE,,,,,,,,,,0,,,,,,UNMAPPED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00452076,cg00452076_TC21_T1_CALY,CALY,8,Dopamine,cg00452076,CALY,,,,no_evidence,,,FALSE,,,,,,,,,,0,,TUBGCP2,,0.058,A,REQUESTED_GENE_UNAVAILABLE,TUBGCP2,,0.4583,A,REQUESTED_GENE_UNAVAILABLE,TUBGCP2,,0.1667,A,REQUESTED_GENE_UNAVAILABLE,,,,,,,,,,,,,,,"",no catalogue holds this CpG-gene pair and no distance could be computed,,
cg00480913,cg00480913_TC21_T1_MEG3,MEG3,21,Imprinted genes & DMRs,cg00480913,MEG3,-1,higher methylation -> LOWER expression,0.3429,catalogue_single,A,"0.62-0.87 (tier A, one tissue only)",FALSE,-1,-1,,,,,,,,1,1,MEG3,-1,0.3429,A,PREDICTED,,,,,UNMAPPED,,,,,UNMAPPED,,,,,,,,,,,,,,,"",only one tissue called; no cross-tissue corroboration,0.3429,0.32855
cg00498305,cg00498305_BC21_T1_SLC18A2,SLC18A2,11,"Monoamine synthesis, transport & degradation",cg00498305,SLC18A2,-1,higher methylation -> LOWER expression,0.6744,catalogue_consensus,B,"0.64-0.84 (tier B, tissues agree)",FALSE,-1,-1,,,,,,,-1,2,1,SLC18A2,-1,0.7056,A,PREDICTED,SLC18A2,-1,0.6433,B,PREDICTED,,,,,UNMAPPED,,,,,,,,,,,,,,,"","",0.6744,0.1628
